2020/8/6,ALL,Tokyo,Osaka,Aichi,Fukuoka,Kanagawa,Chiba,Okinawa,Saitama,Hyogo,Gifu,Kyoto,Kumamoto,Miyazaki,Saga,Ibaraki,Hokkaido,Tokushima,Mie,Yamanashi,Shizuoka,Nara,Kagoshima,Hiroshima,Ishikawa,Tochigi,Gunma,Shiga,Toyama,Nagasaki,Kagawa,Yamaguchi,Fukui,Miyagi,Okayama,Oita,Niigata,Fukushima,Tottori,Nagano,Iwate,Akita,Wakayama,Yamagata,Shimane,Ehime,Kochi,Aomori
,1479,360,225,142,136,118,76,72,65,61,20,20,16,13,12,12,11,10,10,10,9,7,7,7,6,6,6,6,5,5,4,4,3,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0
2020/8/7,ALL,Tokyo,Osaka,Aichi,Fukuoka,Kanagawa,Okinawa,Chiba,Saitama,Hyogo,Shiga,Mie,Kyoto,Gifu,Hokkaido,Ibaraki,Akita,Kumamoto,Nara,Tochigi,Miyazaki,Saga,Gunma,Toyama,Niigata,Okayama,Nagasaki,Yamanashi,Hiroshima,Shizuoka,Oita,Fukushima,Kagoshima,Tokushima,Miyagi,Nagano,Iwate,Ishikawa,Kagawa,Kochi,Fukui,Aomori,Yamaguchi,Wakayama,Tottori,Ehime,Shimane,Yamagata
,1597,461,255,159,140,107,100,66,50,49,31,23,19,15,14,12,10,9,9,8,7,7,6,5,4,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2020/8/8,ALL,Tokyo,Aichi,Osaka,Fukuoka,Kanagawa,Saitama,Okinawa,Hyogo,Chiba,Kyoto,Mie,Nara,Gifu,Miyazaki,Hokkaido,Ibaraki,Toyama,Ishikawa,Kumamoto,Shiga,Nagasaki,Gunma,Shizuoka,Yamaguchi,Akita,Hiroshima,Tochigi,Saga,Okayama,Shimane,Tokushima,Oita,Yamanashi,Kagoshima,Niigata,Wakayama,Fukushima,Kagawa,Ehime,Miyagi,Iwate,Tottori,Yamagata,Nagano,Kochi,Aomori,Fukui
,1521,429,180,180,127,107,84,84,55,53,21,17,16,15,13,13,12,11,11,10,10,10,7,7,6,6,6,5,5,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0
2020/8/9,ALL,Tokyo,Osaka,Okinawa,Fukuoka,Aichi,Kanagawa,Shimane,Saitama,Hyogo,Chiba,Ishikawa,Kyoto,Ibaraki,Gifu,Nara,Shizuoka,Hokkaido,Saga,Mie,Shiga,Oita,Nagasaki,Yamaguchi,Miyazaki,Toyama,Gunma,Hiroshima,Wakayama,Nagano,Kumamoto,Tochigi,Yamanashi,Okayama,Akita,Fukui,Tokushima,Kagawa,Ehime,Kochi,Iwate,Miyagi,Niigata,Aomori,Yamagata,Fukushima,Kagoshima,Tottori
,1485,331,195,156,131,130,102,91,56,48,46,22,20,17,15,12,12,11,9,9,8,7,7,6,6,6,5,5,5,4,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2020/8/13,ALL,Tokyo,Osaka,Fukuoka,Kanagawa,Aichi,Okinawa,Saitama,Hyogo,Chiba,Kyoto,Ibaraki,Ishikawa,Hokkaido,Nara,Kumamoto,Gunma,Tokushima,Gifu,Mie,Shiga,Toyama,Miyazaki,Hiroshima,Tochigi,Yamaguchi,Wakayama,Shizuoka,Shimane,Okayama,Nagasaki,Ehime,Nagano,Saga,Fukushima,Akita,Yamanashi,Kagawa,Tottori,Kochi,Aomori,Yamagata,Niigata,Iwate,Oita,Miyagi,Kagoshima,Fukui
,1175,206,177,144,123,110,95,56,48,46,35,15,13,10,10,9,9,8,8,6,6,5,5,5,4,3,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2020/8/14,ALL,Tokyo,Osaka,Fukuoka,Kanagawa,Okinawa,Aichi,Saitama,Chiba,Hyogo,Kyoto,Gunma,Ishikawa,Nara,Ibaraki,Kumamoto,Hokkaido,Tokushima,Shizuoka,Gifu,Mie,Shiga,Nagasaki,Nagano,Saga,Tochigi,Kagoshima,Okayama,Toyama,Miyazaki,Hiroshima,Yamanashi,Ehime,Fukushima,Wakayama,Aomori,Iwate,Oita,Yamaguchi,Akita,Kagawa,Miyagi,Yamagata,Fukui,Tottori,Shimane,Kochi,Niigata
,1355,389,192,125,117,105,88,56,51,34,30,16,13,13,12,12,12,11,9,8,7,7,5,5,5,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
